model,correlation,pvalue,predictor,feature
SVR-RBF,0.25707642073271714,8.308339782525998e-05,Accessibility,Evescape Fitness
Linear,0.18513538680635633,0.00494471710548258,Accessibility,Evescape Fitness
SVR-RBF,0.0658404139687271,0.3212117865000202,Accessibility,Evescape Fitness
Linear,0.26875338565081824,3.775759851062544e-05,Accessibility,Evescape Fitness
SVR-RBF,0.12567275306164413,0.05757735622660135,Accessibility,Evescape Fitness
Linear,0.10131622636471399,0.12632915365856784,Accessibility,Evescape Fitness
SVR-RBF,0.10342824120784486,0.11857636681349196,Accessibility,Evescape Fitness
Linear,0.17793672922059603,0.006820881000311975,Accessibility,Evescape Fitness
SVR-RBF,0.12906690753760444,0.05059297227487819,Accessibility,Evescape Fitness
Linear,0.2569286285132395,8.389720230100796e-05,Accessibility,Evescape Fitness
SVR-RBF,0.2119027828870074,0.0012560578779984364,Accessibility,Evescape Fitness
Linear,0.18837658946087255,0.004226917786362638,Accessibility,Evescape Fitness
SVR-RBF,0.15463476788700095,0.019214463391305687,Accessibility,Evescape Fitness
Linear,0.29489269087612413,5.639582401236216e-06,Accessibility,Evescape Fitness
SVR-RBF,0.20158370804499523,0.002174142580240755,Accessibility,Evescape Fitness
Linear,0.21621510050608397,0.0009910235315235306,Accessibility,Evescape Fitness
SVR-RBF,0.21946931517363008,0.0008262127492180831,Accessibility,Evescape Fitness
Linear,0.2884768589107761,8.747774289935783e-06,Accessibility,Evescape
SVR-RBF,0.2484681614156544,0.00014034571030339143,Accessibility,Evescape
Linear,0.21322938506453037,0.0011683104133734402,Accessibility,Evescape
SVR-RBF,0.17972111054852008,0.006390704987097979,Accessibility,Evescape
Linear,0.09058764543829621,0.17189230557676238,Accessibility,Evescape
SVR-RBF,0.10290867681474768,0.12044832225231925,Accessibility,Evescape
Linear,0.20546963163705584,0.0017736861673381132,Accessibility,Evescape
SVR-RBF,0.20108437891940714,0.002231175838354355,Accessibility,Evescape
Linear,0.23914972869359355,0.0002598738482627104,Accessibility,Evescape
SVR-RBF,0.2525104619772645,0.00011197837455194625,Accessibility,Evescape
Linear,0.2305856093405662,0.0004225567597420666,Accessibility,Evescape
SVR-RBF,0.2558577589707841,8.685266069083283e-05,Accessibility,Evescape
Linear,0.1569521612581054,0.017460249361129398,Accessibility,Evescape
SVR-RBF,0.18842256276631847,0.004217449633801852,Accessibility,Evescape
Linear,0.1700608104581639,0.009931312463234554,Accessibility,Evescape
SVR-RBF,0.1021098603056625,0.12337112984066143,Accessibility,Evescape
Linear,0.29340711563152405,6.315644865256511e-06,Accessibility,Evescape
SVR-RBF,0.16793041034255757,0.010913883252250985,Accessibility,Evescape
Linear,0.2084365765446998,0.0015146188362403711,Accessibility,Evescape
SVR-RBF,0.16906572297336278,0.010380073040721673,Accessibility,Evescape
Linear,0.2639445347857088,5.051790748485301e-05,Accessibility,Evescape
SVR-RBF,0.22708459283743557,0.0005193053019321253,Accessibility,Evescape
Linear,0.13854099669836342,0.036157929318248544,Accessibility,Evescape
SVR-RBF,0.11153292697485541,0.09221628607159102,Accessibility,Evescape
Linear,0.23441434007687564,0.00034636285157771743,Accessibility,Evescape
SVR-RBF,0.22016912288765492,0.0007942472883079147,Accessibility,Evescape
Linear,0.19349720812654128,0.0032825861961028662,Accessibility,Evescape
SVR-RBF,0.12627514421143607,0.05638119927536068,Accessibility,Evescape
Linear,0.24979158957931424,0.00013340781275749267,Accessibility,Evescape
SVR-RBF,0.2880731533435215,9.434334485971626e-06,Accessibility,Evescape
Linear,0.0545135589103326,0.4105951771875813,Accessibility,IND Mutability Score
SVR-RBF,0.1387740849812202,0.03543656604508931,Accessibility,IND Mutability Score
Linear,0.26199691245789086,5.98589683124259e-05,Accessibility,IND Mutability Score
SVR-RBF,0.17935100162732498,0.006502138056562128,Accessibility,IND Mutability Score
Linear,0.09013382681939375,0.17405896406224383,Accessibility,IND Mutability Score
SVR-RBF,0.11512464456887425,0.08213981737786467,Accessibility,IND Mutability Score
Linear,0.015147929741556137,0.8196552224253806,Accessibility,IND Mutability Score
SVR-RBF,0.11138554501567802,0.0926499416961625,Accessibility,IND Mutability Score
Linear,0.18518752898300733,0.004932352344556353,Accessibility,IND Mutability Score
SVR-RBF,0.21800282888746916,0.0008970780047131193,Accessibility,IND Mutability Score
Linear,0.143642671656292,0.02941448411253779,Accessibility,IND Mutability Score
SVR-RBF,0.19359865856981054,0.0031982291728916332,Accessibility,IND Mutability Score
Linear,0.08147567776840992,0.21935435304503345,Accessibility,IND Mutability Score
SVR-RBF,0.11800795706197013,0.07470934785455734,Accessibility,IND Mutability Score
Linear,0.1470215154924699,0.02609683719666023,Accessibility,IND Mutability Score
SVR-RBF,0.20648488553782066,0.001680801300673849,Accessibility,IND Mutability Score
Linear,0.14380236656309492,0.029589965186062696,Accessibility,IND Mutability Score
SVR-RBF,0.1807670338119111,0.0060849675136905755,Accessibility,IND Mutability Score
Linear,0.11716232860250514,0.07682976636135849,Accessibility,IND Mutability Score
SVR-RBF,0.16427755955161216,0.012799427296859643,Accessibility,IND Mutability Score
Linear,0.06502502287606271,0.3261886222281093,Accessibility,IND Mutability Score
SVR-RBF,0.12818473604941374,0.05220462250177946,Accessibility,IND Mutability Score
Linear,0.09275921771824445,0.1618014841296658,Accessibility,IND Mutability Score
SVR-RBF,0.18455488123643796,0.005084268368518952,Accessibility,IND Mutability Score
Linear,0.1077010149342055,0.10402940985038167,Accessibility,IND Mutability Score
SVR-RBF,0.14204397713941846,0.03166142115736906,Accessibility,IND Mutability Score
Linear,0.12929011811346622,0.050699218107806,Accessibility,IND Mutability Score
SVR-RBF,0.18297653706329492,0.00548174741810029,Accessibility,IND Mutability Score
Linear,0.18209409917030847,0.005715917618071467,Accessibility,IND Mutability Score
SVR-RBF,0.202663662449181,0.002055304947777804,Accessibility,IND Mutability Score
Linear,0.177618286944671,0.006922601746830937,Accessibility,DCA Mutability Score
SVR-RBF,0.21070735952615796,0.0013076850621209098,Accessibility,DCA Mutability Score
Linear,0.04891989066923886,0.4613155076496559,Accessibility,DCA Mutability Score
SVR-RBF,0.15990322517154126,0.015429450009188413,Accessibility,DCA Mutability Score
Linear,0.081377541959101,0.2199118979197477,Accessibility,DCA Mutability Score
SVR-RBF,0.13645580768556687,0.03908298248844123,Accessibility,DCA Mutability Score
Linear,0.02432276555838294,0.7142828286245618,Accessibility,DCA Mutability Score
SVR-RBF,0.169752791206241,0.010068351231829049,Accessibility,DCA Mutability Score
Linear,0.17928615616692098,0.006521839606240628,Accessibility,DCA Mutability Score
SVR-RBF,0.20701057178833976,0.0016344735775577878,Accessibility,DCA Mutability Score
Linear,0.12785617967790494,0.052815666022780455,Accessibility,DCA Mutability Score
SVR-RBF,0.1776056755584108,0.006926657952833684,Accessibility,DCA Mutability Score
Linear,0.07845756392329654,0.23696568407360613,Accessibility,DCA Mutability Score
SVR-RBF,0.20196745575213362,0.00213121671663745,Accessibility,DCA Mutability Score
Linear,0.06367308496556649,0.3374330287797528,Accessibility,DCA Mutability Score
SVR-RBF,0.14502699758527954,0.028216675809617196,Accessibility,DCA Mutability Score
